Location and facility name,,Code for the location to be declared in Data Element 5/23
Heathrow 120 ,"Nippon Express, Unit A1/A2 Parkway West, Cranford Lane, Heston, Hounslow, Middlesex, TW5 9NE",GBAUHOULHRXAA
Heathrow 120 ,"Ontour Logistic Service UK Ltd, Unit 3 McKay, Blackthorne Road, Colnbrook, SL3 0AH",GBAUCBRLHROND
Heathrow 120 ,"PBS International Ltd, 9 Meadow Brook Industrial Centre, Maxwell Way, Crawley, RH10 9SA",GBAUCWYLGWXCS
Heathrow 120 ,"Plane Handling Limited, Unit 8, Radius Park, Faggs Road, Feltham, Middlesex, TW14 0NG",GBAUFEMLHRXBC
Heathrow 120 ,"PRS Distribution Ltd, Valerie House, Unit 6, Horton Road, Colnbrook, Slough, SL3 0BB",GBAUCBRLHRXBD
Heathrow 120,"Regency Shipping Ltd, Unit 15, Trident Industrial Estate, Blackthorne Road, Colnbrook, SL3 0AX",GBAUCBRLHRXBR
Heathrow 120,"Panalpina World Transport Ltd, Panalpina House, Great South West Road, Feltham, TW14 8NU",GBAUFEMLHRXCQ
Heathrow 120,"Schenker Limited, Unit 7, Radius Park, Faggs Road, Feltham, Middlesex TW14, 0NG",GBAUFEMLHRXAL
Heathrow 120,"Sovereign Speed (UK) Ltd, Unit B2X, Skyway 14, Calder Way, Colnbrook, SL3 0BQ",GBAUCBRLHRXAI
Heathrow 120," Shuttlebridge Logistics Ltd, Unit 6C, Beaver Ind Park, Southall, Middlesex, UB2 5FB",GBAUSLLLHRXZY
Heathrow 120,"Strategic Shipping Co Ltd, Unit 6, McKay Trading Estate, Blackthorne Road, Colnbrook, Slough SL3 0AH",GBAUCBRLHRXAJ
Heathrow 120,"Transglobal Freight Management, International House, Girling Way, Great South West Road, Feltham, Middlesex, TW14 0PH",GBAUFEMLHRXAC
Heathrow 120,"UPS SCS (UK) Ltd, Unit 19, Airlinks Ind Est, Spitfire Way, Heston, Middlesex, TW5 9NR",GBAUHESLHRXAH
